text,Sentiment Score,Analysis
"[09, rocktober, inktober, oktoberfest]",0,Neutral
,,
"[ver, hoy, en, el, rocktober, sigo, la, lista, pero, esta, tonter, se, nos, ha, ocurrido, rotten, mi, en, el, coc]",0,Neutral
,,
"[colorado, rockies, prospects, report, new, top, 25, prospects, 2018, review, 2019, preview, prospect, trends, wr]",2,Positive
,,
"[felizmartes, frasedeldia, frasesdelrock, frasesmatonas, pinkfloyd, martesdeganarseguidores, siguemeytesigocumplo, l]",0,Neutral
,,
"[christian, yelich, else, takes, antonio, senzatela, deep, center, bottom, 3rd, brewers]",0,Neutral
,,
"[hey, ro17, please, guest, today, rocktober, ballgame, see, soon, make, sure, bundle, litt]",5,Positive
,,
"[rocktober, home]",1,Positive
,,
"[michelangelo, marble, flooring, whatsapp, 923161047331, stitchedsuits, india, pakistanidesigner]",0,Neutral
,,
"[google, document, acknowledges, tech, platforms, including, google, shifted, towards, censorship, recent, years, moving]",1,Positive
,,
"[facebook, releases, messenger, lite, ios, turkey]",0,Neutral
,,
"[11, facebook, updates, 2019, check, via, facebook]",2,Positive
,,
"[seems, like, london, sabo, updating, local, facebook, ads]",0,Neutral
,,
"[82, maga]",0,Neutral
,,
"[facebook, releases, messenger, lite, ios, turkey]",0,Neutral
,,
"[check, official, music, video, facebook, page, hi92maui, aotearoa, katchafire]",3,Positive
,,
"[instagram, twitter, facebook, snap, redes, media, en, caracas]",-1,Negative
,,
"[google, document, acknowledges, tech, platforms, including, google, shifted, towards, censorship, recent, years, moving]",1,Positive
,,
"[seems, like, london, sabo, updating, local, facebook, ads]",0,Neutral
,,
"[keep, thequeen, fenomenalflair, amp, ready, compete, right]",3,Positive
,,
"[teambnb, bff, amp, team, take, monstereclipse, braun, amp, rig]",0,Neutral
,,
"[like, google, glass, said, thanks, portalfacebook, would, anyone, trust, fa]",0,Neutral
,,
"[proyecto, pablo, g, mez, en, nuestra, p, gina, de, facebook, jap, n, le, tiraron, dos, bombas, micas, hoy, son, potencia, en, argentina, nos, ti]",0,Neutral
,,
"[facebook, lanza, su, propia, c, mara, inteligente, para, videollamadas, noticiasahora, facebook]",0,Neutral
,,
"[need, help, regarding, child, pornography, human, trafficking, pedophiles, using, social, media, plat]",1,Positive
,,
"[another, reason, attending, iswc2018, enterprise, scale, knowledge, graphs, panel, technical, leaders, microsoft]",0,Neutral
,,
"[best, internet, marketing, solutions, without, overspen, twitter, facebook]",1,Positive
,,
"[ultimate, facebook, image, size, guide, everything, need, know, profile, pics, cover, photos]",4,Positive
,,
"[dear, twitter, please, show, option, twitter, get, away, relatives, amp, add]",4,Positive
,,
"[facebook, plan, go, anytime, soon, whoever, advise, leave]",-1,Negative
,,
"[check, internet, best, scrapbooking, handbook, pdf, ebook, free, shipping, resale, rights]",3,Positive
,,
"[arrived, headed, facebook, hq, day, 1, community, leadership, fellowship, standing, recovery, da]",-1,Negative
,,
"[selling, beats, facebook, missing]",-1,Negative
,,
"[taco1, would, anyone, trust, data, thousands, users, compromised, take, hard, pa]",-2,Negative
,,
"[keyword, research, ecommerce, made, simple, marketingdigital, kubodigital, seo, redessociales, brandingmarketing]",1,Positive
,,
"[check, promote, sell, amp, distribute, music, online, pdf, ebook, free, shipping]",3,Positive
,,
"[facebook, forays, hardware, introduces, ai, powered, portal, video, feature, make, stand, apart]",2,Positive
,,
"[los, jueves, son, de, promo, ca, avieja, con, 30, de, descuento, aprovecha, guenos, en, instagram, facebook]",0,Neutral
,,
"[use, customer, lifetime, value, clone, facebook, audience, via]",2,Positive
,,
"[sneak, preview, facebook, dilemma, coming, oct, 29, 30, miss]",0,Neutral
,,
"[sell, facebook, lead, ads, smb, smm, socialstrategy]",-1,Negative
,,
"[reposting, regrann, time, daily, bite, check, back, every, weekday, another, dig]",2,Positive
,,
"[budxnews, la, anunci, la, adjudicaci, n, facebook, de, los, derechos, de, transmisi, n, de, la, copalibertadores, para, el]",0,Neutral
,,
"[privileged, meet, amp, hear, weeks, ago, facebook, hq, work, followed, years]",2,Positive
,,
"[elei, es2018, afirmou, nesta, ter, feira, 09, 10, em, transmiss, ao, vivo, via, facebook, que, n, vai, apo]",0,Neutral
,,
"[facebook, place, cops, spy, facebook, surveillance]",0,Neutral
,,
"[zuckerberg, hints, ad, free, version, facebook, adfree, facebook, markzuckerberg]",0,Neutral
,,
"[enqu, te, un, seul, homme, pour, jouer, les, fausses, nouvelles, au, canada, noel, jdq, facebook]",0,Neutral
,,
"[budxnews, la, anunci, la, adjudicaci, n, facebook, de, los, derechos, de, transmisi, n, de, la, copalibertadores, para, el]",0,Neutral
,,
"[follow, sound, ninja, bookface, mean, facebook, facebook, indierock, acousticrock, rock]",-1,Negative
,,
"[icymi, facebook, researchers, create, ai, system, turns, food, photos, written, recipes, via]",2,Positive
,,
"[cada, vez, que, navegas, en, la, web, dejas, una, huella, digital, el, uso, seguro, responsable, de, las, redessociales, comienza, por, ti]",0,Neutral
,,
"[gran, cortometraje, est, tod, invitad, asistir, la, kerimeras, enginaky, rek, 37, birthday, party, gran, estreno, el, 12, de, oct]",2,Positive
,,
"[budxnews, la, anunci, la, adjudicaci, n, facebook, de, los, derechos, de, transmisi, n, de, la, copalibertadores, p]",0,Neutral
,,
"[google, document, acknowledges, tech, platforms, including, google, shifted, towards, censorship, recent, years, moving]",1,Positive
,,
"[para, los, que, conocen, tijuana, aqu, dejar, esto, serietijuanain5, 1, instagram, facebook, likes, checkin]",0,Neutral
,,
"[google, document, acknowledges, tech, platforms, including, google, shifted, towards, censorship, recent, years, moving]",1,Positive
,,
"[z, hace, unos, publiqu, en, facebook, que, visitar, el, municipio, de, gir, n, agradezco, todos, los, que, escribieron, estu]",0,Neutral
,,
"[google, document, acknowledges, tech, platforms, including, google, shifted, towards, censorship, recent, years, moving]",1,Positive
,,
"[today, marks, beginning, navratri, nine, auspicious, days, hindus, happynavratri, blessed, insta]",1,Positive
,,
"[last, day, shardax, voting, vote, adcoin, voting, acc, crypto, blockchain, community]",-1,Negative
,,
"[almost, 8, b, people, world, scroll, people, social, media, accounts, assume, something, directed]",1,Positive
,,
"[73, older, aussies, interested, learning, technology, beconnectedau, hosting, free, webinar]",2,Positive
,,
"[xyz, pendiente, facebook, empieza, desplegar, whatsapp, para, negocios, si, tienes, un, negocio, con, un, perfil, p, blico, en, facebook]",0,Neutral
,,
"[facebook, 500, fb, 10, iphone, 0424906870]",0,Neutral
,,
"[relacionense, en, sitios, publicos, donde, puedan, comprobar, con, quien, hablan, facebook, es, publico, es, muy, facil, pedi]",0,Neutral
,,
"[la, gente, en, facebook, tiene, sentido, del, humor]",1,Positive
,,
"[reposting, regrann, time, daily, bite, check, back, every, weekday, another, dig]",2,Positive
,,
"[facebook, releases, messenger, lite, ios, turkey, facebookmessenger, messengerlite, facebook, internet, mobile]",0,Neutral
,,
"[pr, facebook, fb, facebook]",0,Neutral
,,
"[facebook, able, use, facebook, day, due, suspicious, activity, ask, picture, fac]",-1,Negative
,,
"[rolandmartinunfiltered, live, right, facebook, youtube, perisco]",2,Positive
,,
"[ya, vieron, lo, que, quieren, hacer, en, xico, quieren, aplicar, un, impuesto, netflix, google, facebook, uber, spotify, por, qu, e]",1,Positive
,,
"[data, breaches, like, others, expect, big, changes, next, 12, months, even, bigger, changes, c]",2,Positive
,,
"[due, unforeseen, circumstances, postponed, today, launch, women, customer, relations, centre]",1,Positive
,,
"[facebook, plan, go, anytime, soon, whoever, advise, leave]",-1,Negative
,,
"[adventures, previously, blind, youth, fitted, w, superhuman, nanotronic, eyes, help, get, danger]",2,Positive
,,
"[facebook, refuses, advertisements, gosnellthemovie, story, needs, told, censorship, babykiller]",-1,Negative
,,
"[last, couple, years, facebook, algorithm, changes, led, reduced, reach, referrals, despair]",-1,Negative
,,
"[stop, using, facebook, twitter, others, build, socialmedia, platform, chat, groupchat, messaging]",1,Positive
,,
"[maa, durga, aapko, bal, buddhi, sukh, aishwarya, aur, sampannta, pradaan, karen, jai, mata, di, navratri, ki, hardik, shubhkamnayen]",0,Neutral
,,
"[r, e, leer, las, indicaciones, para, participar, tanto, de, la, cuenta, de, instagram, c, mo, de, la, fan, page, de, face]",2,Positive
,,
"[73, older, aussies, interested, learning, technology, beconnectedau, hosting, free]",2,Positive
,,
"[perfomance, live, gdpmg, hiphop, music, haiti, paris, newyork, losangeles, atlanta, moscow, changhai, tokyo, rap]",2,Positive
,,
"[new, camera, facebook, called, portal, designed, follow, face, voice, walk, around, room]",2,Positive
,,
"[reposting, regrann, time, daily, bite, check, back, every, weekday, anothe]",2,Positive
,,
"[brahmos, engineer, honeytrapped, pakistan, isi, fake, facebook, profiles, women]",-1,Negative
,,
"[seem, like, particularly, tone, deaf, moment, invite, facebook, home, portal]",2,Positive
,,
[facebook],0,Neutral
,,
"[last, day, shardax, voting, vote, adcoin, voting, acc, crypto, blockchain, community]",-1,Negative
,,
"[official, google, luckily, perfect, timing, today, google, event, unveils, home, hub, smart, screen]",2,Positive
,,
"[connect, us, facebook, business]",-1,Negative
,,
"[due, honestly, left, facebook, making, happy, use, anymore, plus]",3,Positive
,,
"[cprogramming, c, java, instagram, computerscience, programming, programmer, software, softwareengineering, facebook, disp]",0,Neutral
,,
"[didyouknow, lack, techskills, could, hamper, 11, 5, globalindustry, growth, analysis, made, accenture]",1,Positive
,,
"[consulting, deck, omni, channel, strategy, series, omni, channel, supply, chain, retailstrategy]",0,Neutral
,,
"[consulting, deck, omni, channel, strategy, series, omni, channel, supply, chain, retailstrategy]",0,Neutral
,,
"[consulting, deck, omni, channel, strategy, series, omni, channel, supply, chain, retailstrategy]",0,Neutral
,,
"[days, go, biggest, amp, boldest, event, mena, world, imaginative, ideas, go, live, act]",0,Neutral
,,
"[thank, julie, sweet, accenture, ceo, north, america, leading, integrity, authenticity, reas]",2,Positive
,,
"[miss, keynote, asug, experience, hr, amp, payroll, toronto, oct, 10th, 8, hear, asug, cmo]",2,Positive
,,
"[stefano, tascone, industryx0, lead, di, accenture, digital, interverr, explore, future, work, per, parlare, di, come]",0,Neutral
,,
"[accenture, metrodc, office, held, annual, day, service, october, 8, volunteers, helped, upwardlyglobal, job, seekers]",0,Neutral
,,
"[accenture, en, pleine, pr, sentation, nos, etudiants, a4, et, a5, de, l, esilv, merci, et, verine, beaup, pou]",0,Neutral
,,
"[accenture, en, pleine, pr, sentation, nos, etudiants, a4, et, a5, de, l, esilv, merci, et, verine, beaup, pou]",0,Neutral
,,
"[miss, keynote, asug, experience, hr, amp, payroll, toronto, oct, 10th, 8, hear, asug, cm]",2,Positive
,,
"[oracleimpactfr, meeting, disruptif, ai, et, machine, learning, par, accenture, et, oracle, eric, vessier]",0,Neutral
,,
"[eeeeeewwwwww, going, full, sjw, retard, work, environment, like, wish, uppon, worst, enemi]",0,Neutral
,,
"[oracleimpactfr, meeting, disruptif, ai, et, machine, learning, par, accenture, et, oracle, eric, vessier]",0,Neutral
,,
"[mark, wiermans, accenture, wsai, happy, see, happening, ai]",2,Positive
,,
"[accenture, en, pleine, pr, sentation, nos, etudiants, a4, et, a5, de, l, esilv, merci, et, verine, beaup, pou]",0,Neutral
,,
"[accenture, en, pleine, pr, sentation, nos, etudiants, a4, et, a5, de, l, esilv, merci, et, verine, beaup, pou]",0,Neutral
,,
"[makingadifference, accenture, metrodc, day, service]",-1,Negative
,,
"[makingadifference, accenture, metrodc, day, service]",-1,Negative
,,
"[days, go, biggest, amp, boldest, event, mena, world, imaginative, ideas, go, live, act]",0,Neutral
,,
"[days, go, biggest, amp, boldest, event, mena, world, imaginative, ideas, go, live]",1,Positive
,,
"[g, cullen, cv, interview, skills, workshop, part, upskilling, week, today, 6pm, 8pm, accenture, offering, studen]",2,Positive
,,
"[get, know, alessia, valentini, accenture, poseid, technical, director, talk, poseid, project, exper]",4,Positive
,,
"[10, tips, learn, grow, salesforce, career, read, accenture, business]",2,Positive
,,
"[il, 25, 10, al, gov, alessia, valentini, di, accenture, partecipa, evento, digitalidentity, threats, business]",-1,Negative
,,
"[insuranceday18, di, accenture, e, l, innovazione, digitale, stata, la, vera, protagonista, secondo]",0,Neutral
,,
"[consulting, deck, omni, channel, strategy, series, mobile, payment, mobile, retailstrategy]",0,Neutral
,,
"[consulting, deck, omni, channel, strategy, series, mobile, payment, mobile, retailstrategy]",0,Neutral
,,
"[consulting, deck, omni, channel, strategy, series, mobile, payment, mobile, retailstrategy]",0,Neutral
,,
"[find, skills, traits, accenture, looks, hiring, entry, level, candidates, jobhunt]",2,Positive
,,
"[accenture, en, pleine, pr, sentation, nos, etudiants, a4, et, a5, de, l, esilv, merci, et, verine, beaup]",0,Neutral
,,
"[l, 11ottobre, milano, si, terr, l, italian, energy, day, un, occasione, per, parlare, di, nuove, tecnologie, innovazione, sec]",-1,Negative
,,
"[l, 11ottobre, milano, si, terr, l, italian, energy, day, un, occasione, per, parlare, di, nuove, tecnologie, innovazione, sec]",-1,Negative
,,
"[lack, tech, skills, could, hamper, 11, 5, global, industry, growth, finds, accenture, accenture, skillsgap, economy]",0,Neutral
,,
"[freshman, accenture, consultant, 4, lessons, ix, alum, learned]",0,Neutral
,,
"[microservices, improve, patient, experiences, accenture, health, healthcare, technology, tech]",0,Neutral
,,
"[una, sola, giornata, di, guida, si, stima, che, le, auto, guidaautonoma, possano, produrre, dai, 4, ai, 10, terabyte, di, dati]",0,Neutral
,,
"[accenture, mary, legere, receives, saint, isidore, army, cyber, award]",0,Neutral
,,
"[intl, meet, employers, final, year, postgraduate, students, drop, 12pm, thurs, 11, oct, outside, careers, development]",2,Positive
,,
"[meet, employers, final, year, postgraduate, students, drop, 12pm, thurs, 11, oct, outside, careers]",2,Positive
,,
"[top, 5, intrinsic, id, finals, found, intrinsic, id, broadkey, among, top, 5, finalists, acc]",3,Positive
,,
"[accenture, hiring, servers, amp, vms, bengaluruindia, apply, job]",1,Positive
,,
"[consulting, deck, omni, channel, strategy, series, omni, channel, marketing, retailstrategy]",0,Neutral
,,
"[g, cullen, cv, interview, skills, workshop, part, upskilling, week, today, 6pm, 8pm, accenture, offering, studen]",2,Positive
,,
"[consulting, deck, omni, channel, strategy, series, omni, channel, marketing, retailstrategy]",0,Neutral
,,
"[consulting, deck, omni, channel, strategy, series, omni, channel, marketing, retailstrategy]",0,Neutral
,,
"[consult, capability, network, customer, amp, channels, consultant, genesys, us, flexible, accenture, usa]",1,Positive
,,
"[capability, network, customer, amp, channels, consultant, genesys, us, flexible, accenture, usa]",1,Positive
,,
"[financial, consultant, accenture, argentina, buenos, aires, mba, jobs, latinamerica]",0,Neutral
,,
"[tool, used, reskill, 165, 000, accenture, employees, available, accenture, future, talent, platform, help]",0,Neutral
,,
"[accenture, taxi, 703, 445, 4450]",0,Neutral
,,
"[il, 17, 10, news, e, accenture, premieranno, progetti, pi, innovativi, ambito, bancario, vincitori, dei, dmiawards, 201]",0,Neutral
,,
"[il, 17, 10, news, e, accenture, premieranno, progetti, pi, innovativi, ambito, bancario, vincitori, dei, dmiawards]",0,Neutral
,,
"[azenha, team, ready, great, day, red, hat, forum, uk, redhatforumuk, accenture]",2,Positive
,,
"[cv, interview, skills, workshop, part, upskilling, week, today, 6pm, 8pm, accenture, offering]",2,Positive
,,
"[peur, une, cyber, attaque, les, experts, informatiques, europ, ens, sont, r, unis, aux, assises, de, la, curit, de, monaco, monaco]",0,Neutral
,,
"[1, day, go, opens, 4500, delegates, worldwide, speakers, incredible]",-2,Negative
,,
"[ai, ireland, revenue, commissioner, become, first, revenue, agencies, world, implement, voice, bot, service, fo]",1,Positive
,,
"[accenture, taxi, 703, 445, 4450]",0,Neutral
,,
"[precision, major, key, factor, works, call, us, instant, fixes, spoton, perfection, accenture]",1,Positive
,,
"[peur, une, cyber, attaque, les, experts, informatiques, europ, ens, sont, r, unis, aux, assises, de, la, curit, de, monaco]",0,Neutral
,,
"[accenture, helping, ab, inbev, enhance, sales, africa, new, dms]",1,Positive
,,
"[presto, potremo, guardare, la, tv, mentre, l, auto, ci, porta, al, lavoro, per, quanto, la, distanza, tra, le, auto, di, oggi, e, quelle]",0,Neutral
,,
"[azenha, team, ready, great, day, red, hat, forum, uk, redhatforumuk, accenture]",2,Positive
,,
"[patrick, darmon, mangaging, director, pitch, inform, 18, register, part]",0,Neutral
,,
"[team, ready, great, day, red, hat, forum, uk, redhatforumuk, accenture]",2,Positive
,,
"[geert, jan, finalists, group, photo, accenture, innovation, awards, intrinsic, id, ably, represented, cto, geert]",0,Neutral
,,
"[register, irl]",0,Neutral
,,
"[accenture, helps, world, largest, brewer, better, manage, sales, distribution, operations, africa]",2,Positive
,,
"[accenture, unleashes, power, sapleonardo, creating, virtualreality, improve, lives, amputees, read, stor]",2,Positive
,,
"[jobs, usa, 3, accenture, strategy, procurement, strategy, manager, accenture, usa, illinois, mba, jobs, u]",0,Neutral
,,
"[luban, tcms3, redsox, accenture]",0,Neutral
,,
"[program, control, services, needed, bengaluruindia, apply, accenture, job]",2,Positive
,,
"[register, irl]",0,Neutral
,,
"[1, day, go, opens, 4500, delegates, worldwide, speakers, incredible]",-2,Negative
,,
"[indian, companies, losing, scale, game, business, india, strategy, accenture, infosys]",-1,Negative
,,
"[diversity, accenture, google, 50, 50, 50]",0,Neutral
,,
"[mosswall, accenture, installed, last, week, spring, street, nyc, lush, calming, biophilicdesign, zen, beautiful]",1,Positive
,,
"[consulting, deck, pricing, management, pricingstrategy, mckinsey, bain, bcg, accenture]",0,Neutral
,,
"[consulting, deck, pricing, management, pricingstrategy, mckinsey, bain, bcg, accenture]",0,Neutral
,,
"[consulting, deck, pricing, management, pricingstrategy, mckinsey, bain, bcg, accenture, deloitte]",0,Neutral
,,
"[sap, accenture, new, revenue, catches, top, five, indian, firms]",2,Positive
,,
"[makingadifference, accenture, metrodc, day, service]",-1,Negative
,,
"[register, irl]",0,Neutral
,,
"[delivering, delightful, customer, experience, nutanix, data, centre, software, sets, benchmark, netpromoterscore]",1,Positive
,,
"[global, industrial, internet, services, market, 2018, accenture, amazon, web, services]",0,Neutral
,,
"[neagoe, accenture, taps, virtual, reality, improve, lives, amputees, virtualreality, accenture, ampu]",1,Positive
,,
"[mentalhealthawarenessweek, bringing, leading, employer, devoted, neurodiversity, campus, talk, abo]",1,Positive
,,
"[accenture, taps, virtual, reality, improve, lives, amputees, virtualreality, accenture]",1,Positive
,,
"[visite, accenture, une, promenade, dans, le, monde, de, demain, les, chercheurs, expertisent, dans, les, domaines, les, plus, divers]",0,Neutral
,,
"[anche, quest, anno, accenture, e, premiano, prodotti, e, servizi, pi, innovativi, nel, settore, bancario, con]",0,Neutral
,,
"[rh, recrutement, data, florence, r, al, accenture, avec, l, analyse, des, donn, es, nous, aurons, plus, de, temps, pour, l, h]",0,Neutral
,,
"[advertising, campaigns, great, looking, use, creativity, innovation, transform, clients, b]",3,Positive
,,
"[makingadifference, accenture, metrodc, day, service]",-1,Negative
,,
"[makingadifference, accenture, metrodc, day, service]",-1,Negative
,,
"[metro, dc, office, day, service, makingadifference, accenture, 2000, employees, volunteering, community, projects]",-1,Negative
,,
"[fact, accenture, added, 4, 72, billion, incremental, revenue, fy, ended, august, 2018, shade, lower, comb]",0,Neutral
,,
"[76, int, l, police, expect, need, new, digital, skills, next, 3, 5, years, 50, willing, learn, new, digital]",6,Positive
,,
"[consulting, deck, pharma, strategy, loss, exclusivity, loe, pharmaindustry, mckinsey]",0,Neutral
,,
"[terrence, unstable]",0,Neutral
,,
"[marketwatch, correct, ethanol, gas, good, anyone, also, drives, cost, food]",2,Positive
,,
"[left, life, nyc, billionaire, dedicate, great, nation, booming, ec]",1,Positive
,,
"[dregs, society, let, tell, something, biden, dregs, society, hard, working, law, abiding, citizens]",2,Positive
,,
"[get, great, patriots]",2,Positive
,,
"[poor, fakehontas, still, meds, delusional, see]",0,Neutral
,,
"[think, whole, thing, involved, russian, collusion, fantasy, tucker]",3,Positive
,,
"[great, evening, last, night, white, house, honoring, justice, kavanaugh, family, country, proud]",4,Positive
,,
[],0,Neutral
,,
"[fake, news, media, lies, antifa]",-2,Negative
,,
"[outstanding, thouands, patriots, council, bluffs, ia, came, tonight, trump, rally, see, blue, wave, thi]",0,Neutral
,,
"[man, keeps, promises, man, gods, heart, amp, nuff, said]",1,Positive
,,
"[another, reason, vote, governo]",1,Positive
,,
"[trump, train]",-1,Negative
,,
"[paid, c, protesters, ready, really, protest, gotten, checks, words, th]",1,Positive
,,
"[thank, iowa, amp, nebraska, vote, vote, vote]",4,Positive
,,
[],0,Neutral
,,
"[like, hurricanemichael, hurrricane, strengthening, president, case, mid, term, elections, near, abo]",0,Neutral
,,
[],0,Neutral
,,
"[thank, iowa, amp, nebraska, vote, vote, vote]",4,Positive
,,
"[imperatorrex, reminder, due, sos, clinton, breach, espionage, act, likely, beijing, gained, access, private, server, amp]",-1,Negative
,,
"[schrader, senator, rep, federal, government]",0,Neutral
,,
"[need, republicans, independents, amp, moderate, democrats, vote, gop, november, put, stop, mob, ta]",4,Positive
,,
"[beautiful, evening, iowa, god, bless, u, maga]",2,Positive
,,
"[keep, saying, long, takes, indiscriminate, stop, frisk, unconstitutional, harms]",4,Positive
,,
"[left, life, nyc, billionaire, dedicate, great, nation, booming, ec]",1,Positive
,,
"[encouraging, violence, started, dems, polititions, booker, maxine, polititions]",0,Neutral
,,
"[people, need, meet, villa]",4,Positive
,,
"[trump, train, thank, continued, winning, mr, president]",0,Neutral
,,
"[rep, salwell, think, trump, anything, happens, presi]",1,Positive
,,
"[left, life, nyc, billionaire, dedicate, great, nation, booming, ec]",1,Positive
,,
"[called, america, first, job, presid]",1,Positive
,,
"[lost, election, never, gotten]",-2,Negative
,,
"[corker, eye, roll, talks, good, game, always, walks, trump, line, incapable, standing, speaking]",2,Positive
,,
"[paid, c, protesters, ready, really, protest, gotten, checks, words, th]",1,Positive
,,
"[pictures, worth, 1000, words, another, yuge, crowd, iowa, probably]",1,Positive
,,
[],0,Neutral
,,
"[breaking, news, least, popular, president, modern, history, come, new, rally, material, repeats, racist, rants]",2,Positive
,,
"[law, illegals, allowed, vote, elections, voteridnow, onlycitizensvote, abide]",1,Positive
,,
[],0,Neutral
,,
"[thank, iowa, amp, nebraska, vote, vote, vote]",4,Positive
,,
"[trump, democrats, say, want, eclipse, lincoln, go, greatest, president, u]",-1,Negative
,,
[walkaway],0,Neutral
,,
[],0,Neutral
,,
"[funny, one, liners, truthful]",1,Positive
,,
"[bossie, must, support, november, register, vote]",2,Positive
,,
"[fake, news, media, lies, antifa]",-2,Negative
,,
"[first, minute, brett, kavanaugh, nominated, radical, democrats, mission, resist, obstruct, delay, demolis]",-1,Negative
,,
"[pictures, worth, 1000, words, another, yuge, crowd, iowa, probably]",1,Positive
,,
"[beautiful, evening, iowa, god, bless, u, maga]",2,Positive
,,
"[beautiful, evening, iowa, god, bless, u, maga]",2,Positive
,,
"[never, proud, tonight, took, black, crowd, 300, skeptics, full, disagreement]",-2,Negative
,,
"[beautiful, evening, iowa, god, bless, u, maga]",2,Positive
,,
[],0,Neutral
,,
"[408, watch, tv, show, good, rew]",3,Positive
,,
"[breaking, news, least, popular, president, modern, history, come, new, rally, material, repeats, racist, rants]",2,Positive
,,
"[remember, walked, palestinian, speaker, un, dared, speak, 6]",1,Positive
,,
"[se, oea2015, se, se, hagan, algo, en, este, v, deo, podemos, ver, c, mo, lloran, de, manera]",0,Neutral
,,
"[cared, global, warming]",0,Neutral
,,
"[investigation, mueller, implicated, crimes, cohen, foundation, sued]",0,Neutral
,,
"[great, rally, per, usual, democrats, gone, far, left, think, elizabeth, pocahonta]",0,Neutral
,,
"[let, talk, calling, spineless, coward, dare, ohhh, forgot, sharia, law, women, deem]",3,Positive
,,
"[beautiful, evening, iowa, god, bless, u, maga]",2,Positive
,,
"[lost, election, never, gotten]",-2,Negative
,,
"[democrats, civil, anymore, gop, says, mrs, bill, clinton, huh, today, democrats, civil, repub]",0,Neutral
,,
"[never, proud, tonight, took, black, crowd, 300, skeptics, full, disagreement]",-2,Negative
,,
"[support, 46]",1,Positive
,,
"[thank, iowa, amp, nebraska, vote, vote, vote]",4,Positive
,,
"[q, time, strength, honor, meant, something, time, standing, flag, mean]",1,Positive
,,
[],0,Neutral
,,
"[fakenews, show, large, crowds, rallies, always, tonight, council, bluffs]",0,Neutral
,,
"[justice, prevail, confident, ever, trump, russia, emerge, big, way]",2,Positive
,,
"[never, proud, tonight, took, black, crowd, 300, skeptics, full, disagreement]",-2,Negative
,,
"[prouder, merica]",0,Neutral
,,
"[tune, 9, 00pm, et, joins, react, brett, kavanaugh, confirmation, supreme, cour]",0,Neutral
,,
"[nra, boom, breaking, keeping, promises, keeping, country, safe, buildthewall, longer, dream]",1,Positive
,,
"[keep, winning, votered, thank]",2,Positive
,,
"[support, potus, please, help, retweeting, following, voting]",4,Positive
,,
"[breaking, news, least, popular, president, modern, history, come, new, rally, material, repeats, racist, rants]",2,Positive
,,
[],0,Neutral
,,
"[tonight, iowa, resist, create, never, stop, saying, brillant, maga]",0,Neutral
,,
"[corker, eye, roll, talks, good, game, always, walks, trump, line, incapable, standing, speaking]",2,Positive
,,
[southern],0,Neutral
,,
"[hey, come, state, talk, trash, city, preparing, category, 3, hurric]",3,Positive
,,
"[mr, president, sir, evil, pos, assets, seized, declared, enemy, state, amp]",0,Neutral
,,
"[point, midterms, new, pick, un, ambassador, requires, senate, confirmation, want, another, natio]",3,Positive
,,
"[yurik, hillary, clinto]",0,Neutral
,,
"[look, libetal, cowards, fight, old, people, w]",1,Positive
,,
"[roj13, saw, video, tell, poor, kids, even, know, say, pr]",3,Positive
,,
"[beautiful, evening, iowa, god, bless, u, maga]",2,Positive
,,
"[love, thank, god, ran, amp, truly, thought, going, self, destruct, nation, give]",3,Positive
,,
"[good, work]",0,Neutral
,,
"[beautiful, evening, iowa, god, bless, u, maga]",2,Positive
,,
"[dont, usually, discuss, idiots, implying]",-1,Negative
,,
"[onlycitizensvote, voteridnow, citizen, right, vote, arm]",2,Positive
,,
"[corker, eye, roll, talks, good, game, always, walks, trump, line, incapable, standing, speaking]",2,Positive
,,
"[going, iowa, tonight, rally, farmers, happy, usmca]",0,Neutral
,,
"[note, others, start, covering, news, neglected, devote]",1,Positive
,,
"[mr, president, coming, washington, state, wish, could, use, present]",1,Positive
,,
"[4, rallies, 8, days, really, know, waste, taxpayer, money, national, debt, 21, trillio]",2,Positive
,,
"[happy, anniversary, 26, years, extraordinary, partner, someone, always, make, laug]",3,Positive
,,
"[listen, fdt, like, masterpiece]",0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[honored, endorsement, race, ca49, time, get, vote, need]",6,Positive
,,
"[makes, think, black, people, held, breath, watched, walk, dc, streets, firs]",1,Positive
,,
"[anything, help, country, man, call, president]",3,Positive
,,
"[halloween, boo, vote, midtermelections]",1,Positive
,,
"[using, democrats, way, dems, use, african, americans, lies, fancy, words]",1,Positive
,,
"[help, us, turn, georgia, governor, race, blue, need, georgia, stir, grassroots]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[american, could, reliably, trust, dj, party]",1,Positive
,,
"[okafor, know, joking, know, many, ambassadors, 8, years]",3,Positive
,,
"[respect, historical, america, one, favor, always, one, sided, wh]",1,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[manchurian, president, personal, records, still, sealed, spent, 36, million, dollars, 2016, alone, laws]",0,Neutral
,,
"[carla, se, jacta, de, ser, un, feliz, violador, de, ddhh, se, r, e, de, quienes, le, han, advertido, las, consecuencias, co]",0,Neutral
,,
